aerogel_surface_roughness  |                 rough surface  |   dielectric_dielectric  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.3778*eV 1.3933*eV 1.4091*eV 1.4253*eV 1.4419*eV 1.4588*eV 1.4762*eV 1.4940*eV 1.5122*eV 1.5309*eV 1.5500*eV 1.5696*eV 1.5897*eV 1.6104*eV 1.6316*eV 1.6533*eV 1.6757*eV 1.6986*eV 1.7222*eV 1.7465*eV 1.7714*eV 1.7971*eV 1.8235*eV 1.8507*eV 1.8788*eV 1.9077*eV 1.9375*eV 1.9683*eV 2.0000*eV 2.0328*eV 2.0667*eV 2.1017*eV 2.1379*eV 2.1754*eV 2.2143*eV 2.2545*eV 2.2963*eV 2.3396*eV 2.3846*eV 2.4314*eV 2.4800*eV 2.5306*eV 2.5833*eV 2.6383*eV 2.6957*eV 2.7556*eV 2.8182*eV 2.8837*eV 2.9524*eV 3.0244*eV 3.1000*eV 3.1795*eV 3.2632*eV 3.3514*eV 3.4444*eV 3.5429*eV 3.6471*eV 3.7576*eV 3.8750*eV 4.0000*eV 4.1333*eV 4.2759*eV 4.4286*eV 4.5926*eV 4.7692*eV 4.9600*eV 5.1667*eV 5.3913*eV 5.6364*eV 5.9048*eV 6.2000*eV  | none | none | none | none | none | none |0.006 
rich_m1_mirror_planar_comp_1  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_planar_comp_2  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_planar_comp_3  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_planar_comp_4  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_planar_comp_5  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_planar_comp_6  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_planar_comp_7  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.64692 0.65315 0.65962 0.66632 0.67326 0.68041 0.68779 0.69538 0.70316 0.71113 0.71927 0.72756 0.73598 0.74450 0.75311 0.76178 0.77047 0.77916 0.78781 0.79639 0.80485 0.81316 0.82128 0.82916 0.83676 0.84402 0.85090 0.85734 0.86328 0.86867 0.87345 0.87755 0.88092 0.88348 0.88517 0.88591 0.88563 0.88426 0.88172 0.87793 0.87280 0.86626 0.85821 0.84857 0.83725 0.82415 0.80918 0.79224 0.77323 0.75205 0.72860 0.70276 0.67444 0.64352 0.60988  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_spherical_1  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.79666 0.80126 0.80540 0.80913 0.81247 0.81547 0.81815 0.82055 0.82270 0.82461 0.82633 0.82787 0.82926 0.83051 0.83166 0.83270 0.83367 0.83458 0.83543 0.83625 0.83704 0.83780 0.83855 0.83929 0.84003 0.84076 0.84148 0.84220 0.84291 0.84360 0.84428 0.84492 0.84553 0.84609 0.84658 0.84700 0.84732 0.84753 0.84761 0.84754 0.84730 0.84685 0.84619 0.84527 0.84406 0.84255 0.84069 0.83845 0.83579 0.83269 0.82909 0.82496 0.82026 0.81494 0.80896  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_spherical_2  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.79666 0.80126 0.80540 0.80913 0.81247 0.81547 0.81815 0.82055 0.82270 0.82461 0.82633 0.82787 0.82926 0.83051 0.83166 0.83270 0.83367 0.83458 0.83543 0.83625 0.83704 0.83780 0.83855 0.83929 0.84003 0.84076 0.84148 0.84220 0.84291 0.84360 0.84428 0.84492 0.84553 0.84609 0.84658 0.84700 0.84732 0.84753 0.84761 0.84754 0.84730 0.84685 0.84619 0.84527 0.84406 0.84255 0.84069 0.83845 0.83579 0.83269 0.82909 0.82496 0.82026 0.81494 0.80896  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
rich_m1_mirror_spherical_3  |      rich mirror reflectivity  |        dielectric_metal  |              ground  |   unified  |              SkinSurface  |               notDefined  |1.56937*eV 1.58949*eV 1.61013*eV 1.63132*eV 1.65307*eV 1.67541*eV 1.69836*eV 1.72194*eV 1.74620*eV 1.77114*eV 1.79681*eV 1.82324*eV 1.85045*eV 1.87848*eV 1.90738*eV 1.93719*eV 1.96794*eV 1.99968*eV 2.03246*eV 2.06633*eV 2.10136*eV 2.13759*eV 2.17509*eV 2.21393*eV 2.25418*eV 2.29593*eV 2.33925*eV 2.38423*eV 2.43098*eV 2.47960*eV 2.53020*eV 2.58292*eV 2.63787*eV 2.69522*eV 2.75511*eV 2.81773*eV 2.88326*eV 2.95190*eV 3.02390*eV 3.09950*eV 3.17897*eV 3.26263*eV 3.35081*eV 3.44389*eV 3.54229*eV 3.64647*eV 3.75697*eV 3.87437*eV 3.99935*eV 4.13267*eV 4.27517*eV 4.42786*eV 4.59185*eV 4.76846*eV 4.95920*eV  | none |0.79666 0.80126 0.80540 0.80913 0.81247 0.81547 0.81815 0.82055 0.82270 0.82461 0.82633 0.82787 0.82926 0.83051 0.83166 0.83270 0.83367 0.83458 0.83543 0.83625 0.83704 0.83780 0.83855 0.83929 0.84003 0.84076 0.84148 0.84220 0.84291 0.84360 0.84428 0.84492 0.84553 0.84609 0.84658 0.84700 0.84732 0.84753 0.84761 0.84754 0.84730 0.84685 0.84619 0.84527 0.84406 0.84255 0.84069 0.83845 0.83579 0.83269 0.82909 0.82496 0.82026 0.81494 0.80896  | none |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  |0.00025 
